"region","order_date","total_revenue","total_orders","avg_order_value"
"Europe","2022-07-23","576.32","1","576.32"
"North America","2022-07-23","451.97","1","451.97"
"Southeast Asia","2022-07-23","117.42","1","117.42"
"Europe","2022-07-25","246.98","3","82.32666666666667"
"North America","2022-07-25","485.92","1","485.92"
"North America","2022-07-26","79.25","1","79.25"
"Southeast Asia","2022-07-27","173.26","1","173.26"
"Europe","2022-07-31","117.42","1","117.42"
"Europe","2022-08-01","147.35","2","73.675"
"Europe","2022-08-02","918.05","1","918.05"
"North America","2022-08-02","1678.38","1","1678.38"
"Europe","2022-08-04","172.95999999999998","2","86.47999999999999"
"North America","2022-08-04","95.76","1","95.76"
"Europe","2022-08-05","507.52","1","507.52"
"Latin America","2022-08-05","33.45","1","33.45"
"North America","2022-08-05","680.0999999999999","2","340.04999999999995"
"Europe","2022-08-06","34.12","1","34.12"
"Europe","2022-08-07","730.8599999999999","2","365.42999999999995"
"North America","2022-08-07","479.26","1","479.26"
"Europe","2022-08-08","163.97","2","81.985"
"Latin America","2022-08-08","1388.76","1","1388.76"
"North America","2022-08-09","132.24","1","132.24"
"Southeast Asia","2022-08-09","1039.12","1","1039.12"
"Europe","2022-08-10","955.6","3","318.53333333333336"
"Latin America","2022-08-10","29.04","1","29.04"
"North America","2022-08-10","641.29","1","641.29"
"Europe","2022-08-11","700.29","2","350.145"
"Middle East","2022-08-11","95.16","1","95.16"
"North America","2022-08-11","608.33","1","608.33"
"Europe","2022-08-12","185.14","1","185.14"
"North America","2022-08-12","153.84","1","153.84"
"Europe","2022-08-13","170.74","3","56.913333333333334"
"North America","2022-08-13","18.74","1","18.74"
"North America","2022-08-14","55.47","1","55.47"
"Europe","2022-08-15","108.24000000000001","2","54.120000000000005"
"North America","2022-08-15","814.3599999999999","2","407.17999999999995"
"Europe","2022-08-16","26.25","1","26.25"
"Middle East","2022-08-16","81.7","1","81.7"
"North America","2022-08-17","95.63","1","95.63"
"Europe","2022-08-18","73.3","1","73.3"
"Latin America","2022-08-18","186.69","1","186.69"
"North America","2022-08-18","77.81","1","77.81"
"Europe","2022-08-19","91.85","1","91.85"
"North America","2022-08-19","61.2","2","30.6"
"Southeast Asia","2022-08-19","421.7","1","421.7"
"North America","2022-08-20","2002.08","1","2002.08"
"Southeast Asia","2022-08-20","548.58","1","548.58"
"Europe","2022-08-21","1748.49","3","582.83"
"Southeast Asia","2022-08-21","133.65","1","133.65"
"Europe","2022-08-22","305.78","1","305.78"
"Middle East","2022-08-22","916.19","1","916.19"
"Europe","2022-08-23","522.53","2","261.265"
"North America","2022-08-23","502.38","2","251.19"
"Europe","2022-08-25","14.82","1","14.82"
"North America","2022-08-25","26.01","1","26.01"
"Europe","2022-08-26","73.96","1","73.96"
"Middle East","2022-08-26","133.5","1","133.5"
"North America","2022-08-26","258.14","1","258.14"
"Europe","2022-08-28","313.73","1","313.73"
"Middle East","2022-08-28","233.18","1","233.18"
"North America","2022-08-28","826.37","3","275.45666666666665"
"Europe","2022-08-30","63.37","1","63.37"
"Europe","2022-09-01","61.91","1","61.91"
"North America","2022-09-01","161.68","1","161.68"
"North America","2022-09-02","172.78","1","172.78"
"Europe","2022-09-03","360.16","1","360.16"
"Europe","2022-09-04","498.58","1","498.58"
"Latin America","2022-09-04","180.73","1","180.73"
"North America","2022-09-04","402.66","2","201.33"
"Southeast Asia","2022-09-04","1756.78","1","1756.78"
"Europe","2022-09-05","221.02999999999997","2","110.51499999999999"
"North America","2022-09-05","2714.28","1","2714.28"
"Middle East","2022-09-06","26.95","1","26.95"
"North America","2022-09-06","640.01","1","640.01"
"Europe","2022-09-07","90.24","1","90.24"
"North America","2022-09-07","22.9","1","22.9"
"Europe","2022-09-09","58.86","1","58.86"
"Europe","2022-09-10","145.85","1","145.85"
"Middle East","2022-09-11","28.45","1","28.45"
"North America","2022-09-11","215.9","1","215.9"
"Europe","2022-09-12","106.06","1","106.06"
"Europe","2022-09-13","80.79","1","80.79"
"Middle East","2022-09-13","411.79","2","205.895"
"North America","2022-09-13","30.71","1","30.71"
"Europe","2022-09-14","17.26","1","17.26"
"Europe","2022-09-15","14.71","1","14.71"
"Europe","2022-09-16","520.51","2","260.255"
"Middle East","2022-09-16","53.48","1","53.48"
"Europe","2022-09-17","106.05","1","106.05"
"North America","2022-09-17","338.45","1","338.45"
"Europe","2022-09-18","55.52","1","55.52"
"North America","2022-09-18","2517.54","1","2517.54"
"Europe","2022-09-19","504.23","1","504.23"
"North America","2022-09-19","989.81","1","989.81"
"Europe","2022-09-20","25.52","1","25.52"
"North America","2022-09-20","1612.58","1","1612.58"
"Europe","2022-09-22","2541.38","4","635.345"
"North America","2022-09-22","256.94","2","128.47"
"Europe","2022-09-24","266.99","2","133.495"
"Europe","2022-09-26","802.66","1","802.66"
"Latin America","2022-09-26","35.83","2","17.915"
"North America","2022-09-26","18.61","1","18.61"
"Europe","2022-09-27","148.42","1","148.42"
"North America","2022-09-27","488.76","2","244.38"
"Southeast Asia","2022-09-27","320.79","1","320.79"
"Europe","2022-09-28","450.2","3","150.06666666666666"
"North America","2022-09-28","392.2","2","196.1"
"Middle East","2022-09-29","138.04","1","138.04"
"Europe","2022-10-01","190.82","2","95.41"
"North America","2022-10-01","958.5600000000001","3","319.52000000000004"
"Europe","2022-10-02","398.01","3","132.67"
"North America","2022-10-02","1721.41","2","860.705"
"Southeast Asia","2022-10-02","104.47","1","104.47"
"Europe","2022-10-03","169.53","1","169.53"
"North America","2022-10-03","166.07","2","83.035"
"Europe","2022-10-04","176.05","2","88.025"
"North America","2022-10-04","674.85","2","337.425"
"Europe","2022-10-06","242.26","2","121.13"
"Latin America","2022-10-06","41.02","1","41.02"
"North America","2022-10-06","444.83","2","222.415"
"Europe","2022-10-08","107.1","1","107.1"
"Europe","2022-10-09","76.61","1","76.61"
"North America","2022-10-09","139.61","2","69.805"
"Europe","2022-10-10","179.7","1","179.7"
"Europe","2022-10-11","584.25","2","292.125"
"North America","2022-10-11","70.22","1","70.22"
"Europe","2022-10-12","327.89","1","327.89"
"Europe","2022-10-13","224.46","1","224.46"
"North America","2022-10-13","73.31","2","36.655"
"Europe","2022-10-14","829.31","2","414.655"
"North America","2022-10-14","449.64","2","224.82"
"Europe","2022-10-15","87.38","2","43.69"
"Latin America","2022-10-15","343.48","1","343.48"
"North America","2022-10-15","83.43","1","83.43"
"Europe","2022-10-16","615.05","2","307.525"
"Europe","2022-10-17","1162.58","2","581.29"
"Latin America","2022-10-17","98.14","1","98.14"
"Europe","2022-10-18","149.65","1","149.65"
"North America","2022-10-18","377.83","1","377.83"
"Europe","2022-10-19","585.66","3","195.22"
"Latin America","2022-10-19","50.73","1","50.73"
"Europe","2022-10-20","48.56","1","48.56"
"Europe","2022-10-22","54.97","1","54.97"
"Europe","2022-10-23","660.85","2","330.425"
"Latin America","2022-10-23","18.62","1","18.62"
"Middle East","2022-10-23","338.45","1","338.45"
"North America","2022-10-23","1098.8899999999999","3","366.2966666666666"
"Europe","2022-10-24","90.37","2","45.185"
"North America","2022-10-24","2190.04","2","1095.02"
"Latin America","2022-10-25","108.44","1","108.44"
"North America","2022-10-25","2072.67","2","1036.335"
"Southeast Asia","2022-10-27","121.73","1","121.73"
"Europe","2022-10-28","682.78","2","341.39"
"Europe","2022-11-01","1621.93","5","324.386"
"North America","2022-11-01","1835.43","4","458.8575"
"Southeast Asia","2022-11-01","359.59999999999997","2","179.79999999999998"
"Europe","2022-11-02","576.97","1","576.97"
"Latin America","2022-11-02","151.15","1","151.15"
"North America","2022-11-02","821.77","1","821.77"
"Europe","2022-11-03","926.05","2","463.025"
"North America","2022-11-03","1990.69","3","663.5633333333334"
"North America","2022-11-04","338.95","4","84.7375"
"Europe","2022-11-05","238.41","3","79.47"
"North America","2022-11-05","39.09","1","39.09"
"Europe","2022-11-06","789.56","2","394.78"
"Latin America","2022-11-06","226.75","2","113.375"
"North America","2022-11-06","349.73999999999995","3","116.57999999999998"
"Europe","2022-11-07","317.86","2","158.93"
"North America","2022-11-07","418.43","4","104.6075"
"Southeast Asia","2022-11-07","12.06","1","12.06"
"Europe","2022-11-08","45.5","1","45.5"
"Latin America","2022-11-08","140.87","1","140.87"
"North America","2022-11-08","272.03","1","272.03"
"Europe","2022-11-09","476.61","1","476.61"
"North America","2022-11-09","269.7","3","89.89999999999999"
"Southeast Asia","2022-11-09","461.57","2","230.785"
"Europe","2022-11-10","441.85999999999996","3","147.28666666666666"
"North America","2022-11-10","373.73","1","373.73"
"Southeast Asia","2022-11-10","215.11","1","215.11"
"Europe","2022-11-11","1065.52","4","266.38"
"Latin America","2022-11-11","382.22","1","382.22"
"Middle East","2022-11-11","185.51","1","185.51"
"North America","2022-11-11","365.48","1","365.48"
"Europe","2022-11-12","341.75","2","170.875"
"North America","2022-11-12","187.07999999999998","2","93.53999999999999"
"Europe","2022-11-13","92.50999999999999","2","46.254999999999995"
"North America","2022-11-13","68.39","1","68.39"
"Southeast Asia","2022-11-13","113.52","1","113.52"
"Europe","2022-11-14","690.49","2","345.245"
"North America","2022-11-14","655.61","3","218.53666666666666"
"Europe","2022-11-15","430","4","107.5"
"Southeast Asia","2022-11-15","140.08","1","140.08"
"Europe","2022-11-16","787.95","3","262.65000000000003"
"Latin America","2022-11-16","135.56","2","67.78"
"Middle East","2022-11-16","60.31","1","60.31"
"North America","2022-11-16","711.1","5","142.22"
"Europe","2022-11-17","829.09","4","207.2725"
"North America","2022-11-17","167.07","2","83.535"
"Europe","2022-11-18","293.03000000000003","4","73.25750000000001"
"North America","2022-11-18","131.61","2","65.805"
"Southeast Asia","2022-11-18","603.36","1","603.36"
"Europe","2022-11-19","338.92","3","112.97333333333334"
"North America","2022-11-19","140.26","1","140.26"
"Europe","2022-11-20","205.32","2","102.66"
"North America","2022-11-20","426.58","2","213.29"
"Europe","2022-11-21","805.22","3","268.4066666666667"
"North America","2022-11-21","843.13","5","168.626"
"Europe","2022-11-22","272.5","2","136.25"
"Latin America","2022-11-22","151.26","1","151.26"
"North America","2022-11-22","1266.93","4","316.7325"
"Europe","2022-11-23","278.26","2","139.13"
"North America","2022-11-23","2971.5299999999997","3","990.5099999999999"
"Southeast Asia","2022-11-23","834.23","1","834.23"
"Europe","2022-11-24","374.46000000000004","4","93.61500000000001"
"North America","2022-11-24","1211.4","2","605.7"
"Southeast Asia","2022-11-24","26.93","1","26.93"
"Latin America","2022-11-25","64.16","1","64.16"
"North America","2022-11-25","102.91","2","51.455"
"Europe","2022-11-26","472.45","4","118.1125"
"Latin America","2022-11-26","169.46","2","84.73"
"Middle East","2022-11-26","356.49","1","356.49"
"North America","2022-11-26","338.82","3","112.94"
"Middle East","2022-11-27","27.13","1","27.13"
"North America","2022-11-27","89.19","2","44.595"
"Southeast Asia","2022-11-27","131.29","1","131.29"
"Europe","2022-11-28","1299.33","1","1299.33"
"North America","2022-11-28","281.48","2","140.74"
"Europe","2022-11-29","17.45","1","17.45"
"Europe","2022-11-30","57.72","2","28.86"
"Europe","2022-12-01","805.2099999999999","5","161.04199999999997"
"Latin America","2022-12-01","236.14","1","236.14"
"North America","2022-12-01","392.22999999999996","2","196.11499999999998"
"Europe","2022-12-02","331.44","4","82.86"
"Latin America","2022-12-02","70.42","1","70.42"
"North America","2022-12-02","945.97","2","472.985"
"Southeast Asia","2022-12-02","535.19","1","535.19"
"Europe","2022-12-03","1071.71","4","267.9275"
"North America","2022-12-03","364.9","4","91.225"
"Europe","2022-12-04","862.69","7","123.24142857142859"
"Middle East","2022-12-04","29.8","1","29.8"
"North America","2022-12-04","650.6700000000001","2","325.33500000000004"
"Europe","2022-12-05","2801.19","4","700.2975"
"Middle East","2022-12-05","289.55","1","289.55"
"North America","2022-12-05","368.82","3","122.94"
"Europe","2022-12-06","1265.8","5","253.16"
"North America","2022-12-06","603.28","2","301.64"
"Europe","2022-12-07","2035.7099999999998","7","290.81571428571425"
"Latin America","2022-12-07","1586.03","1","1586.03"
"Middle East","2022-12-07","128.06","1","128.06"
"North America","2022-12-07","29.62","1","29.62"
"Southeast Asia","2022-12-07","210.88","1","210.88"
"Europe","2022-12-08","2722.4","5","544.48"
"Latin America","2022-12-08","432.63","2","216.315"
"North America","2022-12-08","300.37","3","100.12333333333333"
"Southeast Asia","2022-12-08","172.24","1","172.24"
"Europe","2022-12-09","1877.15","6","312.85833333333335"
"Latin America","2022-12-09","47.29","1","47.29"
"North America","2022-12-09","155.89","2","77.945"
"Southeast Asia","2022-12-09","72.58","1","72.58"
"Europe","2022-12-10","150.14","1","150.14"
"Middle East","2022-12-10","945.35","1","945.35"
"North America","2022-12-10","295.04","4","73.76"
"Europe","2022-12-11","334.64","3","111.54666666666667"
"North America","2022-12-11","181.79","2","90.895"
"Europe","2022-12-12","2382.75","5","476.55"
"Middle East","2022-12-12","190.49","1","190.49"
"North America","2022-12-12","92.91999999999999","2","46.459999999999994"
"Southeast Asia","2022-12-12","171.5","1","171.5"
"Europe","2022-12-13","3149.9900000000002","8","393.74875000000003"
"Latin America","2022-12-13","83.28","1","83.28"
"North America","2022-12-13","1202.95","4","300.7375"
"Europe","2022-12-14","270.97","2","135.485"
"North America","2022-12-14","528.11","2","264.055"
"Europe","2022-12-15","1098.18","8","137.2725"
"Latin America","2022-12-15","335.18","1","335.18"
"North America","2022-12-15","411.79","1","411.79"
"Europe","2022-12-16","252.00000000000003","3","84.00000000000001"
"Latin America","2022-12-16","31.38","1","31.38"
"North America","2022-12-16","4152.96","4","1038.24"
"Europe","2022-12-17","629.71","3","209.90333333333334"
"Latin America","2022-12-17","299.75","2","149.875"
"North America","2022-12-17","1449.1399999999999","2","724.5699999999999"
"Europe","2022-12-18","2870.42","11","260.9472727272727"
"Latin America","2022-12-18","880.85","1","880.85"
"Middle East","2022-12-18","115.97","1","115.97"
"North America","2022-12-18","227.79","3","75.92999999999999"
"Europe","2022-12-19","1609.65","4","402.4125"
"North America","2022-12-19","239.96","1","239.96"
"Southeast Asia","2022-12-19","46.75","1","46.75"
"Europe","2022-12-20","2816.51","3","938.8366666666667"
"North America","2022-12-20","526.11","3","175.37"
"Europe","2022-12-21","2319.92","6","386.65333333333336"
"Middle East","2022-12-21","127.34","2","63.67"
"Southeast Asia","2022-12-21","1163.9","2","581.95"
"Europe","2022-12-22","1390.15","4","347.5375"
"North America","2022-12-22","305.8","3","101.93333333333334"
"Europe","2022-12-23","1341.36","4","335.34"
"Latin America","2022-12-23","272.39","3","90.79666666666667"
"Southeast Asia","2022-12-23","258.14","1","258.14"
"Europe","2022-12-24","1127.09","5","225.41799999999998"
"North America","2022-12-24","995.16","6","165.85999999999999"
"Southeast Asia","2022-12-24","117.54","2","58.77"
"Europe","2022-12-25","2049","5","409.8"
"Latin America","2022-12-25","26.53","1","26.53"
"North America","2022-12-25","866.32","3","288.77333333333337"
"Europe","2022-12-26","761.21","3","253.73666666666668"
"Latin America","2022-12-26","1145.31","2","572.655"
"North America","2022-12-26","1108.3799999999999","4","277.09499999999997"
"Europe","2022-12-27","262.67","3","87.55666666666667"
"Middle East","2022-12-27","282.46","2","141.23"
"North America","2022-12-27","558.3199999999999","7","79.75999999999999"
"Southeast Asia","2022-12-27","41.93","1","41.93"
"Europe","2022-12-28","1880.2","3","626.7333333333333"
"North America","2022-12-28","2555.1800000000003","5","511.03600000000006"
"Southeast Asia","2022-12-28","1362.31","2","681.155"
"Europe","2022-12-29","479.55","2","239.775"
"North America","2022-12-29","141.77","1","141.77"
"Europe","2022-12-31","541.1","1","541.1"
"North America","2022-12-31","56.65","1","56.65"
"Europe","2023-01-01","17.57","1","17.57"
"Europe","2023-01-02","461.25","1","461.25"
"Middle East","2023-01-02","217.95","1","217.95"
"North America","2023-01-02","5","1","5"
"Europe","2023-01-04","722.01","2","361.005"
"Latin America","2023-01-04","161.12","1","161.12"
"North America","2023-01-04","1346.21","2","673.105"
"Latin America","2023-01-05","476.82","2","238.41"
"North America","2023-01-05","208.92","1","208.92"
"Southeast Asia","2023-01-05","110.55","1","110.55"
"Europe","2023-01-07","704.35","1","704.35"
"Southeast Asia","2023-01-07","206.25","1","206.25"
"North America","2023-01-08","83.2","1","83.2"
"Europe","2023-01-09","577","2","288.5"
"Europe","2023-01-10","1429.32","2","714.66"
"North America","2023-01-10","92.88","1","92.88"
"Europe","2023-01-11","471.74","2","235.87"
"Europe","2023-01-12","488.95","2","244.475"
"North America","2023-01-14","963.1","1","963.1"
"Latin America","2023-01-15","533.62","2","266.81"
"Southeast Asia","2023-01-15","718.65","1","718.65"
"Europe","2023-01-16","1220.58","1","1220.58"
"Latin America","2023-01-16","965.47","1","965.47"
"North America","2023-01-16","504.25","1","504.25"
"Middle East","2023-01-17","294.46","1","294.46"
"North America","2023-01-17","706.1","3","235.36666666666667"
"North America","2023-01-18","288.87","2","144.435"
"Europe","2023-01-19","321.19","2","160.595"
"North America","2023-01-19","68.87","1","68.87"
"North America","2023-01-20","496.73","1","496.73"
"Southeast Asia","2023-01-20","29.04","1","29.04"
"Europe","2023-01-21","310.11","1","310.11"
"North America","2023-01-21","532.84","1","532.84"
"Europe","2023-01-23","27.95","1","27.95"
"Latin America","2023-01-24","484.67","1","484.67"
"Southeast Asia","2023-01-24","71.67","1","71.67"
"Latin America","2023-01-25","194.31","1","194.31"
"North America","2023-01-25","193.51999999999998","2","96.75999999999999"
"Europe","2023-01-26","209.83","1","209.83"
"Middle East","2023-01-26","299.07","1","299.07"
"North America","2023-01-26","16.81","1","16.81"
"Southeast Asia","2023-01-27","294.34","1","294.34"
"Middle East","2023-01-28","20.9","1","20.9"
"Europe","2023-02-01","65.65","1","65.65"
"Middle East","2023-02-01","86.25","1","86.25"
"North America","2023-02-01","72.91","1","72.91"
"Europe","2023-02-02","781.83","1","781.83"
"Latin America","2023-02-02","62.87","1","62.87"
"Southeast Asia","2023-02-02","192.46","1","192.46"
"Europe","2023-02-04","21.01","1","21.01"
"North America","2023-02-04","19.96","1","19.96"
"Europe","2023-02-06","107.81","1","107.81"
"Middle East","2023-02-06","38.74","1","38.74"
"Southeast Asia","2023-02-06","345.75","1","345.75"
"Europe","2023-02-07","581.14","2","290.57"
"Latin America","2023-02-07","475.51","1","475.51"
"Europe","2023-02-08","148.88","1","148.88"
"Latin America","2023-02-08","2119.95","2","1059.975"
"Middle East","2023-02-08","20.54","1","20.54"
"Europe","2023-02-09","407.56","1","407.56"
"Latin America","2023-02-09","170.16","1","170.16"
"Southeast Asia","2023-02-09","211.99","1","211.99"
"Europe","2023-02-10","192.79","2","96.395"
"Southeast Asia","2023-02-10","36.96","1","36.96"
"Europe","2023-02-11","784.94","4","196.235"
"North America","2023-02-11","170.71","2","85.355"
"North America","2023-02-12","180.66","1","180.66"
"Europe","2023-02-13","114.08","2","57.04"
"Latin America","2023-02-13","53.52","1","53.52"
"Latin America","2023-02-14","649.93","1","649.93"
"North America","2023-02-15","177.29000000000002","2","88.64500000000001"
"North America","2023-02-17","71.67","1","71.67"
"Europe","2023-02-18","505.24","1","505.24"
"Europe","2023-02-19","59.4","1","59.4"
"North America","2023-02-20","1764.98","1","1764.98"
"Southeast Asia","2023-02-20","104.6","1","104.6"
"Europe","2023-02-21","17.26","1","17.26"
"Middle East","2023-02-21","164.72","1","164.72"
"Europe","2023-02-22","231.03","1","231.03"
"Middle East","2023-02-22","373.2","1","373.2"
"Europe","2023-02-23","763.27","2","381.635"
"Middle East","2023-02-23","839.18","1","839.18"
"North America","2023-02-23","813.12","1","813.12"
"Europe","2023-02-24","1471.4099999999999","4","367.85249999999996"
"Latin America","2023-02-24","4.75","1","4.75"
"Europe","2023-02-25","58.78","1","58.78"
"North America","2023-02-25","36.41","1","36.41"
"Southeast Asia","2023-02-25","143.64","1","143.64"
"Europe","2023-02-26","1788.8400000000001","3","596.2800000000001"
"North America","2023-02-26","249.28","1","249.28"
"Europe","2023-02-27","13.66","1","13.66"
"Latin America","2023-02-27","185.04","1","185.04"
"North America","2023-02-27","902.4200000000001","2","451.21000000000004"
"Europe","2023-02-28","1147.11","3","382.36999999999995"
"North America","2023-02-28","285.48","2","142.74"
"Europe","2023-03-01","151.13","1","151.13"
"Latin America","2023-03-01","441.16","1","441.16"
"Middle East","2023-03-01","612.18","1","612.18"
"North America","2023-03-01","1338.57","1","1338.57"
"Southeast Asia","2023-03-01","65.52","1","65.52"
"North America","2023-03-02","134.16","2","67.08"
"Southeast Asia","2023-03-02","67.69","1","67.69"
"North America","2023-03-03","65.54","1","65.54"
"Latin America","2023-03-04","19.71","1","19.71"
"North America","2023-03-04","87.72","1","87.72"
"North America","2023-03-05","2030.81","3","676.9366666666666"
"Europe","2023-03-06","13.34","1","13.34"
"North America","2023-03-07","231.16","1","231.16"
"Europe","2023-03-08","963.5999999999999","3","321.2"
"North America","2023-03-08","398.78","1","398.78"
"Southeast Asia","2023-03-09","419.8","1","419.8"
"Europe","2023-03-10","1852.8600000000001","2","926.4300000000001"
"Middle East","2023-03-10","45.3","1","45.3"
"North America","2023-03-10","35.51","1","35.51"
"North America","2023-03-11","916.03","2","458.015"
"Europe","2023-03-12","624.32","2","312.16"
"North America","2023-03-12","586.96","1","586.96"
"Europe","2023-03-14","307.16","1","307.16"
"North America","2023-03-14","1808.06","3","602.6866666666666"
"Europe","2023-03-17","393.24","1","393.24"
"North America","2023-03-17","14.22","1","14.22"
"Latin America","2023-03-18","37.17","1","37.17"
"North America","2023-03-18","366.92","1","366.92"
"Europe","2023-03-19","700.95","1","700.95"
"Latin America","2023-03-19","56.56","1","56.56"
"North America","2023-03-19","15.92","1","15.92"
"Europe","2023-03-20","1095.28","1","1095.28"
"Middle East","2023-03-20","16.89","1","16.89"
"North America","2023-03-20","81.85","1","81.85"
"Europe","2023-03-21","247.89","3","82.63"
"North America","2023-03-21","784.93","5","156.986"
"Southeast Asia","2023-03-21","206.62","1","206.62"
"Europe","2023-03-22","836.47","3","278.8233333333333"
"Europe","2023-03-23","58.44","1","58.44"
"Latin America","2023-03-23","385.53","1","385.53"
"North America","2023-03-23","591.94","2","295.97"
"Southeast Asia","2023-03-23","319.26","2","159.63"
"Europe","2023-03-24","924.03","1","924.03"
"Southeast Asia","2023-03-24","32.31","1","32.31"
"Europe","2023-03-25","185.33","3","61.77666666666667"
"Southeast Asia","2023-03-25","270.28","1","270.28"
"Europe","2023-03-26","366.92","1","366.92"
"North America","2023-03-26","27.38","1","27.38"
"Europe","2023-03-27","2309.46","4","577.365"
"North America","2023-03-27","38.1","1","38.1"
"Europe","2023-03-28","118.83","1","118.83"
"North America","2023-03-28","10","1","10"
"Southeast Asia","2023-03-28","639.36","1","639.36"
"North America","2023-03-31","177.49","1","177.49"
"Europe","2023-04-01","212.52","1","212.52"
"Europe","2023-04-03","106.63","1","106.63"
"North America","2023-04-03","375.25","1","375.25"
"Southeast Asia","2023-04-03","318.6","2","159.3"
"Europe","2023-04-04","162.08999999999997","2","81.04499999999999"
"Latin America","2023-04-04","14.67","1","14.67"
"North America","2023-04-04","400.75","1","400.75"
