"region","country","channel","device","total_orders","total_revenue","avg_order_value","return_rate_percent"
"Europe","UK","Organic","Tablet","22","7635.46","347.07","0.05"
"Europe","UK","Organic","Mobile","105","29704.04","282.9","0.12"
"Europe","UK","Paid Search","Desktop","55","18087.53","328.86","0.09"
"Europe","UK","Paid Search","Tablet","14","3972.97","283.78","0"
"Europe","UK","Paid Search","Mobile","83","21651.14","260.86","0.13"
"Europe","UK","Referral","Desktop","34","11095.02","326.32","0.06"
"Europe","UK","Referral","Tablet","9","2495.98","277.33","0.11"
"Europe","UK","Referral","Mobile","27","6718.17","248.82","0.22"
"Europe","UK","Social Ads","Tablet","11","4334.39","394.04","0.27"
"Europe","UK","Social Ads","Desktop","73","22476.3","307.89","0.04"
"Europe","UK","Social Ads","Mobile","100","24660.46","246.6","0.08"
"Latin America","Argentina","Email","Desktop","35","10935.87","312.45","0.09"
"Latin America","Argentina","Email","Mobile","49","12789.57","261.01","0.06"
"Latin America","Argentina","Email","Tablet","7","947.95","135.42","0"
"Latin America","Argentina","Influencer","Tablet","4","2567.96","641.99","0"
"Latin America","Argentina","Influencer","Mobile","32","10557.66","329.93","0.13"
"Latin America","Argentina","Influencer","Desktop","31","8521.69","274.89","0.13"
"Latin America","Argentina","Organic","Desktop","40","12768.04","319.2","0.07"
"Latin America","Argentina","Organic","Mobile","51","11540.94","226.29","0.1"
"Latin America","Argentina","Organic","Tablet","12","2184.35","182.03","0"
"Latin America","Argentina","Paid Search","Desktop","19","7247.55","381.45","0.05"
"Latin America","Argentina","Paid Search","Mobile","39","10509.960000000001","269.49","0.08"
"Latin America","Argentina","Paid Search","Tablet","12","2984.45","248.7","0.08"
"Latin America","Argentina","Referral","Mobile","38","12744","335.37","0.08"
"Latin America","Argentina","Referral","Desktop","19","4890.1","257.37","0.05"
"Latin America","Argentina","Referral","Tablet","1","178.41","178.41","0"
"Latin America","Argentina","Social Ads","Desktop","39","13351.82","342.35","0.05"
"Latin America","Argentina","Social Ads","Mobile","45","12400.7","275.57","0.11"
"Latin America","Argentina","Social Ads","Tablet","10","1537.25","153.72","0.1"
"Latin America","Brazil","Email","Mobile","52","14632.58","281.4","0.1"
"Latin America","Brazil","Email","Desktop","28","6674.37","238.37","0.07"
"Latin America","Brazil","Email","Tablet","9","1556.99","173","0"
"Latin America","Brazil","Influencer","Mobile","37","9967.17","269.38","0.03"
"Latin America","Brazil","Influencer","Desktop","20","5009.88","250.49","0.1"
"Latin America","Brazil","Influencer","Tablet","6","1368.05","228.01","0"
"Latin America","Brazil","Organic","Desktop","43","12954.8","301.27","0.09"
"Latin America","Brazil","Organic","Mobile","79","17513.37","221.69","0.16"
"Latin America","Brazil","Organic","Tablet","17","3665.31","215.61","0.18"
"Latin America","Brazil","Paid Search","Tablet","13","5671.76","436.29","0"
"Latin America","Brazil","Paid Search","Desktop","41","9719.72","237.07","0.1"
"Latin America","Brazil","Paid Search","Mobile","68","13693.2","201.37","0.1"
"Latin America","Brazil","Referral","Desktop","22","7992.349999999999","363.29","0.09"
"Latin America","Brazil","Referral","Mobile","28","9009.48","321.77","0.07"
"Latin America","Brazil","Referral","Tablet","6","705.26","117.54","0"
"Latin America","Brazil","Social Ads","Tablet","6","1948.61","324.77","0.33"
"Latin America","Brazil","Social Ads","Mobile","61","19186.15","314.53","0.13"
"Latin America","Brazil","Social Ads","Desktop","43","11021.97","256.32","0.09"
"Latin America","Chile","Email","Tablet","5","1789.12","357.82","0.2"
"Latin America","Chile","Email","Desktop","21","7392.59","352.03","0.14"
"Latin America","Chile","Email","Mobile","34","9610.98","282.68","0.03"
"Latin America","Chile","Influencer","Desktop","22","9352.3","425.1","0.09"
"Latin America","Chile","Influencer","Tablet","6","1361.1299999999999","226.85","0"
"Latin America","Chile","Influencer","Mobile","29","5659.59","195.16","0.1"
"Latin America","Chile","Organic","Desktop","32","7567.18","236.47","0.06"
"Latin America","Chile","Organic","Mobile","66","13745.9","208.27","0.06"
"Latin America","Chile","Organic","Tablet","9","1159.51","128.83","0"
"Latin America","Chile","Paid Search","Desktop","38","10702.95","281.66","0.13"
"Latin America","Chile","Paid Search","Mobile","55","12370.7","224.92","0.04"
"Latin America","Chile","Paid Search","Tablet","5","924.32","184.86","0"
"Latin America","Chile","Referral","Mobile","15","3418.99","227.93","0.07"
"Latin America","Chile","Referral","Tablet","6","1350.73","225.12","0"
"Latin America","Chile","Referral","Desktop","14","2531.7000000000003","180.84","0.07"
"Latin America","Chile","Social Ads","Tablet","8","3200.39","400.05","0"
"Latin America","Chile","Social Ads","Desktop","35","7955.18","227.29","0.03"
"Latin America","Chile","Social Ads","Mobile","67","12664.9","189.03","0.1"
"Middle East","Saudi Arabia","Email","Tablet","7","3889.09","555.58","0.14"
"Middle East","Saudi Arabia","Email","Desktop","15","4425.84","295.06","0.13"
"Middle East","Saudi Arabia","Email","Mobile","33","6214.27","188.31","0.06"
"Middle East","Saudi Arabia","Influencer","Mobile","32","12221.18","381.91","0.13"
"Middle East","Saudi Arabia","Influencer","Desktop","18","3708.85","206.05","0.06"
"Middle East","Saudi Arabia","Influencer","Tablet","6","975.0500000000001","162.51","0.5"
"Middle East","Saudi Arabia","Organic","Tablet","7","1874.1799999999998","267.74","0"
"Middle East","Saudi Arabia","Organic","Desktop","27","6016.96","222.85","0.07"
"Middle East","Saudi Arabia","Organic","Mobile","45","8379.369999999999","186.21","0.13"
"Middle East","Saudi Arabia","Paid Search","Mobile","42","13900.89","330.97","0.07"
"Middle East","Saudi Arabia","Paid Search","Desktop","23","6318.7","274.73","0.04"
"Middle East","Saudi Arabia","Paid Search","Tablet","11","2069.39","188.13","0.09"
"Middle East","Saudi Arabia","Referral","Tablet","2","742.13","371.06","0.5"
"Middle East","Saudi Arabia","Referral","Mobile","18","3911.04","217.28","0.06"
"Middle East","Saudi Arabia","Referral","Desktop","3","207.48","69.16","0"
"Middle East","Saudi Arabia","Social Ads","Desktop","26","8881.36","341.59","0.12"
"Middle East","Saudi Arabia","Social Ads","Mobile","43","12515.67","291.06","0.12"
"Middle East","Saudi Arabia","Social Ads","Tablet","9","2174.5","241.61","0.22"
"Middle East","Turkey","Email","Tablet","4","2187.2","546.8","0.25"
"Middle East","Turkey","Email","Desktop","20","8593.61","429.68","0.15"
"Middle East","Turkey","Email","Mobile","38","13920.69","366.33","0.24"
"Middle East","Turkey","Influencer","Tablet","4","1904.8","476.2","0"
"Middle East","Turkey","Influencer","Desktop","17","7670.24","451.19","0.06"
"Middle East","Turkey","Influencer","Mobile","28","9395.39","335.55","0.07"
"Middle East","Turkey","Organic","Desktop","35","16651.26","475.75","0.14"
"Middle East","Turkey","Organic","Mobile","60","15175.35","252.92","0.12"
"Middle East","Turkey","Organic","Tablet","7","1152.0900000000001","164.58","0.14"
"Middle East","Turkey","Paid Search","Tablet","9","4551.54","505.73","0"
"Middle East","Turkey","Paid Search","Desktop","29","8934.84","308.1","0.1"
"Middle East","Turkey","Paid Search","Mobile","43","12356.03","287.35","0.09"
"Middle East","Turkey","Referral","Mobile","20","5627.7","281.38","0.1"
"Middle East","Turkey","Referral","Tablet","3","514.3100000000001","171.44","0"
"Middle East","Turkey","Referral","Desktop","10","1526.1599999999999","152.62","0.1"
"Middle East","Turkey","Social Ads","Desktop","27","8164.66","302.39","0.15"
"Middle East","Turkey","Social Ads","Mobile","37","8713.38","235.5","0.03"
"Middle East","Turkey","Social Ads","Tablet","10","1405.69","140.57","0.1"
"Middle East","UAE","Email","Desktop","19","5117.26","269.33","0.11"
"Middle East","UAE","Email","Mobile","35","8697.82","248.51","0.06"
"Middle East","UAE","Email","Tablet","4","738.64","184.66","0"
"Middle East","UAE","Influencer","Tablet","3","1244.27","414.76","0.33"
"Middle East","UAE","Influencer","Mobile","32","7460.99","233.16","0.09"
"Middle East","UAE","Influencer","Desktop","30","6443.5","214.78","0.1"
"Middle East","UAE","Organic","Tablet","12","4500.77","375.06","0.17"
"Middle East","UAE","Organic","Desktop","44","11149.24","253.39","0.09"
"Middle East","UAE","Organic","Mobile","58","13524.08","233.17","0.09"
"Middle East","UAE","Paid Search","Tablet","6","2139.4","356.57","0"
"Middle East","UAE","Paid Search","Desktop","30","10001.03","333.37","0.1"
"Middle East","UAE","Paid Search","Mobile","51","12901.6","252.97","0.1"
"Middle East","UAE","Referral","Desktop","11","4258.08","387.1","0.18"
"Middle East","UAE","Referral","Tablet","5","1560.3600000000001","312.07","0.2"
"Middle East","UAE","Referral","Mobile","27","6295.69","233.17","0.04"
"Middle East","UAE","Social Ads","Desktop","30","9646.710000000001","321.56","0.13"
"Middle East","UAE","Social Ads","Tablet","6","1340.96","223.49","0"
"Middle East","UAE","Social Ads","Mobile","40","6620.68","165.52","0.15"
"North America","Canada","Email","Desktop","68","17206.34","253.03","0.16"
"North America","Canada","Email","Tablet","18","3599.18","199.95","0.06"
"North America","Canada","Email","Mobile","100","18469.84","184.7","0.07"
"North America","Canada","Influencer","Tablet","13","5392.1900000000005","414.78","0.15"
"North America","Canada","Influencer","Desktop","33","10885","329.85","0.18"
"North America","Canada","Influencer","Mobile","83","21431.12","258.21","0.14"
"North America","Canada","Organic","Desktop","108","36476.59","337.75","0.11"
"North America","Canada","Organic","Mobile","179","50830.82","283.97","0.11"
"North America","Canada","Organic","Tablet","31","6738.49","217.37","0.03"
"North America","Canada","Paid Search","Desktop","85","26732.73","314.5","0.07"
"North America","Canada","Paid Search","Mobile","128","32946.25","257.39","0.12"
"North America","Canada","Paid Search","Tablet","24","5642","235.08","0.13"
"North America","Canada","Referral","Desktop","39","11584.4","297.04","0.08"
"North America","Canada","Referral","Tablet","11","2940.56","267.32","0"
"North America","Canada","Referral","Mobile","49","10701.32","218.39","0.14"
"North America","Canada","Social Ads","Desktop","66","19018.89","288.16","0.12"
"North America","Canada","Social Ads","Mobile","141","36147.19","256.36","0.13"
"North America","Canada","Social Ads","Tablet","23","5113.87","222.34","0.13"
"North America","Mexico","Email","Desktop","50","15465.23","309.3","0.1"
"North America","Mexico","Email","Mobile","80","20359.02","254.49","0.11"
"North America","Mexico","Email","Tablet","17","3388.29","199.31","0.12"
"North America","Mexico","Influencer","Tablet","12","3897.16","324.76","0.08"
"North America","Mexico","Influencer","Desktop","59","16796.57","284.69","0.17"
"North America","Mexico","Influencer","Mobile","79","17252.12","218.38","0.08"
"North America","Mexico","Organic","Tablet","38","14040.28","369.48","0.08"
"North America","Mexico","Organic","Desktop","108","26275.09","243.29","0.07"
"North America","Mexico","Organic","Mobile","172","40413.69","234.96","0.06"
"North America","Mexico","Paid Search","Tablet","25","14554.2","582.17","0.12"
"North America","Mexico","Paid Search","Desktop","81","24936.09","307.85","0.16"
"North America","Mexico","Paid Search","Mobile","135","39266.68","290.86","0.11"
"North America","Mexico","Referral","Tablet","8","2602.5","325.31","0.13"
"North America","Mexico","Referral","Desktop","32","9483.5","296.36","0.22"
"North America","Mexico","Referral","Mobile","55","11309.25","205.62","0.05"
"North America","Mexico","Social Ads","Tablet","33","9382.88","284.33","0.06"
"North America","Mexico","Social Ads","Desktop","99","26583.65","268.52","0.11"
"North America","Mexico","Social Ads","Mobile","122","29348.31","240.56","0.14"
"North America","USA","Email","Tablet","11","4288.72","389.88","0.09"
"North America","USA","Email","Mobile","101","36064.33","357.07","0.07"
"North America","USA","Email","Desktop","71","19781.52","278.61","0.13"
"North America","USA","Influencer","Desktop","57","19871.13","348.62","0.11"
"North America","USA","Influencer","Tablet","12","2885.7200000000003","240.48","0"
"North America","USA","Influencer","Mobile","95","22331.07","235.06","0.15"
"North America","USA","Organic","Mobile","174","57279.77","329.19","0.1"
"North America","USA","Organic","Desktop","123","33286.5","270.62","0.11"
"North America","USA","Organic","Tablet","28","4660.04","166.43","0.04"
"North America","USA","Paid Search","Tablet","27","10639.789999999999","394.07","0.04"
"North America","USA","Paid Search","Mobile","146","43761.37","299.74","0.1"
"North America","USA","Paid Search","Desktop","84","20881.03","248.58","0.13"
"North America","USA","Referral","Tablet","14","4079.14","291.37","0.21"
"North America","USA","Referral","Mobile","75","17437.65","232.5","0.11"
"North America","USA","Referral","Desktop","39","7135.64","182.97","0.08"
"North America","USA","Social Ads","Desktop","103","35068.39","340.47","0.12"
"North America","USA","Social Ads","Mobile","146","43114.76","295.31","0.07"
"North America","USA","Social Ads","Tablet","24","4889.87","203.74","0"
"Southeast Asia","Indonesia","Email","Desktop","30","12664.07","422.14","0.2"
"Southeast Asia","Indonesia","Email","Mobile","51","18129.38","355.48","0.06"
"Southeast Asia","Indonesia","Email","Tablet","8","1763.69","220.46","0.5"
"Southeast Asia","Indonesia","Influencer","Tablet","11","4113.13","373.92","0"
"Southeast Asia","Indonesia","Influencer","Mobile","42","12092.02","287.91","0.12"
"Southeast Asia","Indonesia","Influencer","Desktop","24","4780.32","199.18","0.08"
"Southeast Asia","Indonesia","Organic","Mobile","86","29624.43","344.47","0.08"
"Southeast Asia","Indonesia","Organic","Desktop","56","18374.4","328.11","0.11"
"Southeast Asia","Indonesia","Organic","Tablet","16","4882.32","305.14","0"
"Southeast Asia","Indonesia","Paid Search","Tablet","6","1910.78","318.46","0"
"Southeast Asia","Indonesia","Paid Search","Mobile","59","18399.47","311.86","0.14"
"Southeast Asia","Indonesia","Paid Search","Desktop","45","12483.67","277.41","0.09"
"Southeast Asia","Indonesia","Referral","Desktop","22","7514.33","341.56","0.05"
"Southeast Asia","Indonesia","Referral","Mobile","24","7019.54","292.48","0.13"
"Southeast Asia","Indonesia","Referral","Tablet","5","1297.67","259.53","0"
"Southeast Asia","Indonesia","Social Ads","Desktop","35","12816.14","366.18","0.06"
"Southeast Asia","Indonesia","Social Ads","Tablet","9","3146.36","349.6","0.33"
"Southeast Asia","Indonesia","Social Ads","Mobile","65","17213.29","264.82","0.08"
"Southeast Asia","Philippines","Email","Mobile","51","16738.45","328.2","0.1"
"Southeast Asia","Philippines","Email","Tablet","7","2074.8","296.4","0"
"Southeast Asia","Philippines","Email","Desktop","34","9350.36","275.01","0.09"
"Southeast Asia","Philippines","Influencer","Mobile","39","14422.67","369.81","0.15"
"Southeast Asia","Philippines","Influencer","Tablet","8","2634.63","329.33","0.13"
"Southeast Asia","Philippines","Influencer","Desktop","27","6265.4","232.05","0.26"
"Southeast Asia","Philippines","Organic","Desktop","64","21872.84","341.76","0.13"
"Southeast Asia","Philippines","Organic","Tablet","17","4337.2","255.13","0.24"
"Southeast Asia","Philippines","Organic","Mobile","83","21154.93","254.88","0.11"
"Southeast Asia","Philippines","Paid Search","Desktop","38","11254.23","296.16","0.13"
"Southeast Asia","Philippines","Paid Search","Mobile","67","17539.94","261.79","0.07"
"Southeast Asia","Philippines","Paid Search","Tablet","12","1805.29","150.44","0"
"Southeast Asia","Philippines","Referral","Tablet","7","2936.25","419.46","0.29"
"Southeast Asia","Philippines","Referral","Mobile","34","11137.01","327.56","0.09"
"Southeast Asia","Philippines","Referral","Desktop","18","5187.42","288.19","0.17"
"Southeast Asia","Philippines","Social Ads","Desktop","40","12726.24","318.16","0.13"
"Southeast Asia","Philippines","Social Ads","Mobile","79","23451.53","296.85","0.1"
"Southeast Asia","Philippines","Social Ads","Tablet","12","1806.18","150.52","0.25"
"Southeast Asia","Thailand","Email","Desktop","31","13525.85","436.32","0.13"
"Southeast Asia","Thailand","Email","Tablet","4","1256.3","314.07","0.25"
"Southeast Asia","Thailand","Email","Mobile","40","11904.42","297.61","0.13"
"Southeast Asia","Thailand","Influencer","Tablet","9","4000","444.44","0"
"Southeast Asia","Thailand","Influencer","Mobile","30","9529.5","317.65","0.1"
"Southeast Asia","Thailand","Influencer","Desktop","29","6577.51","226.81","0.03"
"Southeast Asia","Thailand","Organic","Desktop","48","14198.99","295.81","0.08"
"Southeast Asia","Thailand","Organic","Mobile","83","20922.42","252.08","0.11"
"Southeast Asia","Thailand","Organic","Tablet","18","4275.73","237.54","0"
"Southeast Asia","Thailand","Paid Search","Tablet","12","6267.18","522.26","0"
"Southeast Asia","Thailand","Paid Search","Desktop","39","13501.97","346.2","0.18"
"Southeast Asia","Thailand","Paid Search","Mobile","56","18444.6","329.37","0.05"
"Southeast Asia","Thailand","Referral","Tablet","4","2221.1","555.27","0"
"Southeast Asia","Thailand","Referral","Desktop","13","4147.05","319","0.08"
"Southeast Asia","Thailand","Referral","Mobile","31","8761.64","282.63","0"
"Southeast Asia","Thailand","Social Ads","Desktop","36","11181.19","310.59","0.17"
"Southeast Asia","Thailand","Social Ads","Tablet","11","3308.79","300.8","0.18"
"Southeast Asia","Thailand","Social Ads","Mobile","52","14773.16","284.1","0.02"
"Southeast Asia","Vietnam","Email","Desktop","27","11230.71","415.95","0.15"
"Southeast Asia","Vietnam","Email","Mobile","42","11368.16","270.67","0.12"
"Southeast Asia","Vietnam","Email","Tablet","5","1186.34","237.27","0"
"Southeast Asia","Vietnam","Influencer","Tablet","9","2754.0499999999997","306.01","0.11"
"Southeast Asia","Vietnam","Influencer","Mobile","53","14652.45","276.46","0.08"
"Southeast Asia","Vietnam","Influencer","Desktop","22","4936.7699999999995","224.4","0.09"
"Southeast Asia","Vietnam","Organic","Tablet","20","8490.6","424.53","0.2"
"Southeast Asia","Vietnam","Organic","Desktop","48","17199.06","358.31","0.17"
"Southeast Asia","Vietnam","Organic","Mobile","94","25737.89","273.81","0.09"
"Southeast Asia","Vietnam","Paid Search","Mobile","90","30876.61","343.07","0.06"
"Southeast Asia","Vietnam","Paid Search","Desktop","41","11044.789999999999","269.39","0.1"
"Southeast Asia","Vietnam","Paid Search","Tablet","10","2164.44","216.44","0.1"
"Southeast Asia","Vietnam","Referral","Mobile","29","10956.31","377.8","0.03"
"Southeast Asia","Vietnam","Referral","Desktop","15","2613.54","174.24","0.07"
"Southeast Asia","Vietnam","Referral","Tablet","10","1462.25","146.22","0.3"
"Southeast Asia","Vietnam","Social Ads","Desktop","35","10312.04","294.63","0.14"
"Southeast Asia","Vietnam","Social Ads","Mobile","71","20440.81","287.9","0.07"
"Southeast Asia","Vietnam","Social Ads","Tablet","10","2454.34","245.43","0"
