"customer_id","region","total_revenue","customer_rank","cumulative_revenue_percent","customer_percent","customer_group"
"11839","Middle East","11164.86","35","0.1525","0.0117","Top 5%"
"10286","North America","11048.66","36","0.1557","0.012","Top 5%"
"11370","Southeast Asia","10959.56","37","0.1589","0.0123","Top 5%"
"10539","Middle East","10615.72","38","0.1619","0.0127","Top 5%"
"12766","Middle East","10599.49","39","0.165","0.013","Top 5%"
"11247","Europe","10544.42","40","0.168","0.0133","Top 5%"
"10220","Southeast Asia","10324.38","41","0.171","0.0137","Top 5%"
"10370","Southeast Asia","10049.36","42","0.1739","0.014","Top 5%"
"11599","Europe","9901.7","43","0.1767","0.0143","Top 5%"
"10291","North America","9336.13","44","0.1794","0.0147","Top 5%"
"12463","North America","9321.84","45","0.1821","0.015","Top 5%"
"10632","North America","9291.29","46","0.1848","0.0153","Top 5%"
"11098","Southeast Asia","8807.54","47","0.1873","0.0157","Top 5%"
"11552","Southeast Asia","8680.02","48","0.1898","0.016","Top 5%"
"10801","Europe","8570.68","49","0.1923","0.0163","Top 5%"
"12940","Southeast Asia","8551.08","50","0.1947","0.0167","Top 5%"
"11909","Southeast Asia","8527.13","51","0.1972","0.017","Top 5%"
"12657","Middle East","8521.31","52","0.1996","0.0173","Top 5%"
"10333","Middle East","8488.21","53","0.2021","0.0177","Top 5%"
"10016","Europe","8382.29","54","0.2045","0.018","Top 5%"
"10741","Southeast Asia","8299.17","55","0.2069","0.0183","Top 5%"
"11954","Latin America","8296.14","56","0.2093","0.0187","Top 5%"
"12701","North America","7997.06","57","0.2116","0.019","Top 5%"
"10179","Southeast Asia","7954.32","58","0.2139","0.0193","Top 5%"
"12707","North America","7936.73","59","0.2162","0.0197","Top 5%"
"12425","Middle East","7666.49","60","0.2184","0.02","Top 5%"
"12646","North America","7435.52","61","0.2205","0.0203","Top 5%"
"11298","Southeast Asia","7389.44","62","0.2226","0.0207","Top 5%"
"10697","Middle East","7291.57","63","0.2247","0.021","Top 5%"
"12629","North America","7233.52","64","0.2268","0.0213","Top 5%"
"10699","Europe","7042.13","65","0.2288","0.0217","Top 5%"
"11468","Southeast Asia","6862.97","66","0.2308","0.022","Top 5%"
"11522","North America","6780.65","67","0.2328","0.0223","Top 5%"
"10442","Europe","6749.55","68","0.2347","0.0227","Top 5%"
"10530","Europe","6704.3099999999995","69","0.2366","0.023","Top 5%"
"10977","Middle East","6696.849999999999","70","0.2386","0.0233","Top 5%"
"12340","Southeast Asia","6595.57","71","0.2405","0.0237","Top 5%"
"10814","Southeast Asia","6535.9400000000005","72","0.2423","0.024","Top 5%"
"12626","Europe","6535.71","73","0.2442","0.0243","Top 5%"
"11024","Middle East","6502.2300000000005","74","0.2461","0.0247","Top 5%"
"12089","Europe","6486.81","75","0.248","0.025","Top 5%"
"10601","North America","6473.6","76","0.2498","0.0253","Top 5%"
"12029","Europe","6446.04","77","0.2517","0.0257","Top 5%"
"11320","Southeast Asia","6375.89","78","0.2535","0.026","Top 5%"
"10946","Southeast Asia","6337.61","79","0.2553","0.0263","Top 5%"
"11756","North America","6322.59","80","0.2572","0.0267","Top 5%"
"11080","Latin America","6250.63","81","0.259","0.027","Top 5%"
"12953","North America","6142.67","82","0.2607","0.0273","Top 5%"
"11997","Europe","6126.65","83","0.2625","0.0277","Top 5%"
"10943","Southeast Asia","6089.05","84","0.2643","0.028","Top 5%"
"11412","North America","5849.21","85","0.2659","0.0283","Top 5%"
"11737","Europe","5696.5199999999995","86","0.2676","0.0287","Top 5%"
"11200","North America","5637.55","87","0.2692","0.029","Top 5%"
"11022","Europe","5585.63","88","0.2708","0.0293","Top 5%"
"10572","Southeast Asia","5581.32","89","0.2724","0.0297","Top 5%"
"11087","Latin America","5569.53","90","0.274","0.03","Top 5%"
"12664","North America","5501.46","91","0.2756","0.0303","Top 5%"
"10067","Europe","5492.36","92","0.2772","0.0307","Top 5%"
"12558","North America","5469.79","93","0.2788","0.031","Top 5%"
"12447","North America","5376.42","94","0.2803","0.0313","Top 5%"
"12018","Latin America","5309.7","95","0.2818","0.0317","Top 5%"
"10206","Southeast Asia","5288.88","96","0.2834","0.032","Top 5%"
"11219","North America","5253.92","97","0.2849","0.0323","Top 5%"
"11300","North America","5224.9400000000005","98","0.2864","0.0327","Top 5%"
"10324","Latin America","5203.87","99","0.2879","0.033","Top 5%"
"11610","Europe","5181.34","100","0.2894","0.0333","Top 5%"
"10658","Latin America","5175.18","101","0.2908","0.0337","Top 5%"
"12681","Europe","5131.09","102","0.2923","0.034","Top 5%"
"10066","North America","5085.04","103","0.2938","0.0343","Top 5%"
"11341","Southeast Asia","5067.5199999999995","104","0.2952","0.0347","Top 5%"
"12916","North America","5058.22","105","0.2967","0.035","Top 5%"
"10509","Latin America","5033.36","106","0.2982","0.0353","Top 5%"
"11999","North America","4988.01","107","0.2996","0.0357","Top 5%"
"11121","Southeast Asia","4909.11","108","0.301","0.036","Top 5%"
"12400","North America","4759.83","109","0.3024","0.0363","Top 5%"
"10398","Europe","4759.69","110","0.3037","0.0367","Top 5%"
"12134","Southeast Asia","4757.93","111","0.3051","0.037","Top 5%"
"12731","North America","4750.2","112","0.3065","0.0373","Top 5%"
"12015","Southeast Asia","4729.75","113","0.3078","0.0377","Top 5%"
"12306","Southeast Asia","4514.65","114","0.3091","0.038","Top 5%"
"11160","North America","4495.59","115","0.3104","0.0383","Top 5%"
"11279","North America","4492.860000000001","116","0.3117","0.0387","Top 5%"
"10748","Europe","4479.71","117","0.313","0.039","Top 5%"
"11015","Europe","4455.16","118","0.3143","0.0393","Top 5%"
"11037","Europe","4377.51","119","0.3156","0.0397","Top 5%"
"11770","Middle East","4345.8","120","0.3168","0.04","Top 5%"
"11321","Europe","4331.42","121","0.3181","0.0403","Top 5%"
"10587","Latin America","4304.84","122","0.3193","0.0407","Top 5%"
"12939","Latin America","4274.0599999999995","123","0.3205","0.041","Top 5%"
"11494","Europe","4267.83","124","0.3218","0.0413","Top 5%"
"10001","Middle East","4219.33","125","0.323","0.0417","Top 5%"
"11933","Southeast Asia","4161.07","126","0.3242","0.042","Top 5%"
"10888","Middle East","4150.47","127","0.3254","0.0423","Top 5%"
"11119","Latin America","4139.3099999999995","128","0.3266","0.0427","Top 5%"
"11353","North America","4078.42","129","0.3277","0.043","Top 5%"
"12975","Europe","4058.7200000000003","130","0.3289","0.0433","Top 5%"
"12656","Latin America","4036.01","131","0.3301","0.0437","Top 5%"
"11192","Europe","4028.48","132","0.3312","0.044","Top 5%"
"11020","North America","3970.54","133","0.3324","0.0443","Top 5%"
"11000","North America","3897.13","134","0.3335","0.0447","Top 5%"
"11926","Latin America","3869.89","135","0.3346","0.045","Top 5%"
"10056","Latin America","3856.03","136","0.3357","0.0453","Top 5%"
"10816","Latin America","3853.7799999999997","137","0.3368","0.0457","Top 5%"
"11143","Southeast Asia","3834.11","138","0.3379","0.046","Top 5%"
"11803","Europe","3812.21","139","0.339","0.0463","Top 5%"
"11411","Europe","3796.21","140","0.3401","0.0467","Top 5%"
"12929","North America","3775.81","141","0.3412","0.047","Top 5%"
"11115","Europe","3766.1","142","0.3423","0.0473","Top 5%"
"10406","Southeast Asia","3721.55","143","0.3434","0.0477","Top 5%"
"10604","Europe","3678.69","144","0.3444","0.048","Top 5%"
"12381","North America","3676.01","145","0.3455","0.0483","Top 5%"
"12144","Southeast Asia","3658.4700000000003","146","0.3465","0.0487","Top 5%"
"10164","Europe","3658.23","147","0.3476","0.049","Top 5%"
"10607","Europe","3628.71","148","0.3486","0.0493","Top 5%"
"12749","Middle East","3587.02","149","0.3497","0.0497","Top 5%"
"11580","Europe","3518.66","150","0.3507","0.05","Top 5%"
"12060","Southeast Asia","3475.0600000000004","151","0.3517","0.0503","Other"
"11587","North America","3467.71","152","0.3527","0.0507","Other"
"11501","Europe","3452.5","153","0.3537","0.051","Other"
"12086","North America","3439.5","154","0.3546","0.0513","Other"
"11674","North America","3434.38","155","0.3556","0.0517","Other"
"12449","Middle East","3429.04","156","0.3566","0.052","Other"
"12782","Latin America","3414.54","157","0.3576","0.0523","Other"
"12265","North America","3388.17","158","0.3586","0.0527","Other"
"10654","North America","3372.64","159","0.3596","0.053","Other"
"10168","Europe","3306.91","160","0.3605","0.0533","Other"
"12785","Europe","3304.02","161","0.3615","0.0537","Other"
"12913","Europe","3293.43","162","0.3624","0.054","Other"
"12925","North America","3272.31","163","0.3633","0.0543","Other"
"10689","North America","3270.7200000000003","164","0.3643","0.0547","Other"
"11132","Europe","3267.98","165","0.3652","0.055","Other"
"12836","Southeast Asia","3255.04","166","0.3662","0.0553","Other"
"10055","Latin America","3252.8999999999996","167","0.3671","0.0557","Other"
"11392","North America","3251.6","168","0.368","0.056","Other"
"12687","Southeast Asia","3249.9","169","0.369","0.0563","Other"
"12097","Europe","3237.16","170","0.3699","0.0567","Other"
"12889","North America","3232.96","171","0.3708","0.057","Other"
"10350","Middle East","3205.02","172","0.3718","0.0573","Other"
"11962","North America","3196.7000000000003","173","0.3727","0.0577","Other"
"11176","North America","3195.61","174","0.3736","0.058","Other"
"11201","Europe","3162.48","175","0.3745","0.0583","Other"
"11296","Latin America","3137.26","176","0.3754","0.0587","Other"
"10525","Europe","3136.5099999999998","177","0.3763","0.059","Other"
"10131","Europe","3123.7200000000003","178","0.3772","0.0593","Other"
"11987","Europe","3066.52","179","0.3781","0.0597","Other"
"11848","North America","3057.54","180","0.379","0.06","Other"
"11228","Europe","3032.52","181","0.3798","0.0603","Other"
"10868","Europe","3032.02","182","0.3807","0.0607","Other"
"10180","Southeast Asia","3026.48","183","0.3816","0.061","Other"
"10660","Europe","3018.71","184","0.3825","0.0613","Other"
"10820","North America","2998.71","185","0.3833","0.0617","Other"
"12871","Europe","2987.13","186","0.3842","0.062","Other"
"12328","North America","2983.36","187","0.385","0.0623","Other"
"12654","North America","2979.71","188","0.3859","0.0627","Other"
"11075","North America","2971.83","189","0.3868","0.063","Other"
"12158","Southeast Asia","2962.44","190","0.3876","0.0633","Other"
"10681","Latin America","2943.4","191","0.3885","0.0637","Other"
"12999","North America","2923.38","192","0.3893","0.064","Other"
"11977","Southeast Asia","2918.27","193","0.3901","0.0643","Other"
"11290","Southeast Asia","2916.2","194","0.391","0.0647","Other"
"12245","Latin America","2913.17","195","0.3918","0.065","Other"
"10582","Europe","2912.73","196","0.3927","0.0653","Other"
"11156","North America","2900.55","197","0.3935","0.0657","Other"
"10156","North America","2894.9300000000003","198","0.3943","0.066","Other"
"10158","Europe","2880.88","199","0.3952","0.0663","Other"
"11175","Europe","2880.72","200","0.396","0.0667","Other"
"11622","North America","2880.66","201","0.3968","0.067","Other"
"11163","Europe","2869.6099999999997","202","0.3976","0.0673","Other"
"10209","Latin America","2867.46","203","0.3985","0.0677","Other"
"10353","North America","2861.9900000000002","204","0.3993","0.068","Other"
"12457","Europe","2852.44","205","0.4001","0.0683","Other"
"12085","Southeast Asia","2829.87","206","0.4009","0.0687","Other"
"10974","Latin America","2826.48","207","0.4017","0.069","Other"
"12893","Latin America","2817.17","208","0.4025","0.0693","Other"
"12231","Europe","2815.02","209","0.4034","0.0697","Other"
"10547","North America","2810.6800000000003","210","0.4042","0.07","Other"
"11852","North America","2787.54","211","0.405","0.0703","Other"
"11581","Middle East","2787.51","212","0.4058","0.0707","Other"
"10742","North America","2782.2400000000002","213","0.4066","0.071","Other"
"12568","North America","2779.4","214","0.4074","0.0713","Other"
"11011","North America","2756.54","215","0.4082","0.0717","Other"
"11733","Southeast Asia","2730.31","216","0.4089","0.072","Other"
"11352","Middle East","2726.24","217","0.4097","0.0723","Other"
"10409","Southeast Asia","2724.29","218","0.4105","0.0727","Other"
"10136","Southeast Asia","2723.12","219","0.4113","0.073","Other"
"12356","Middle East","2711.11","220","0.4121","0.0733","Other"
"12401","Latin America","2710.75","221","0.4129","0.0737","Other"
"11278","Europe","2689.12","222","0.4136","0.074","Other"
"12547","Middle East","2678.2200000000003","223","0.4144","0.0743","Other"
"11799","Southeast Asia","2671.27","224","0.4152","0.0747","Other"
"10643","Southeast Asia","2669.54","225","0.4159","0.075","Other"
"12024","North America","2666.73","226","0.4167","0.0753","Other"
"12958","Europe","2662.88","227","0.4175","0.0757","Other"
"12277","Europe","2661.6","228","0.4182","0.076","Other"
"10347","Latin America","2660.29","229","0.419","0.0763","Other"
"11106","North America","2649.18","230","0.4198","0.0767","Other"
"11213","North America","2648.1","231","0.4205","0.077","Other"
"11483","Europe","2622.64","232","0.4213","0.0773","Other"
"10834","Europe","2612.77","233","0.422","0.0777","Other"
"12857","North America","2612.24","234","0.4228","0.078","Other"
"10606","North America","2595","235","0.4235","0.0783","Other"
"10610","Middle East","2590.53","236","0.4243","0.0787","Other"
"12039","North America","2584.7000000000003","237","0.425","0.079","Other"
"10157","Europe","2579.92","238","0.4258","0.0793","Other"
"11198","Europe","2572.59","239","0.4265","0.0797","Other"
"12811","North America","2559.92","240","0.4273","0.08","Other"
"12333","Southeast Asia","2555.52","241","0.428","0.0803","Other"
"11294","Latin America","2553.86","242","0.4287","0.0807","Other"
"10141","Southeast Asia","2553.46","243","0.4295","0.081","Other"
"12030","North America","2546.83","244","0.4302","0.0813","Other"
"10680","Latin America","2542.6299999999997","245","0.4309","0.0817","Other"
"10279","North America","2542.42","246","0.4317","0.082","Other"
"10764","Europe","2531.61","247","0.4324","0.0823","Other"
"11831","North America","2525.33","248","0.4331","0.0827","Other"
"12043","Latin America","2522.56","249","0.4338","0.083","Other"
"10880","Latin America","2521.58","250","0.4346","0.0833","Other"
"11696","Latin America","2514.96","251","0.4353","0.0837","Other"
"12061","Latin America","2511.23","252","0.436","0.084","Other"
"10185","Europe","2509.23","253","0.4367","0.0843","Other"
"12237","Europe","2505.8599999999997","254","0.4375","0.0847","Other"
"10723","North America","2490.47","255","0.4382","0.085","Other"
"11673","Europe","2486.04","256","0.4389","0.0853","Other"
"11381","North America","2483.5","257","0.4396","0.0857","Other"
"10584","Latin America","2480.7400000000002","258","0.4403","0.086","Other"
"11809","North America","2476.15","259","0.441","0.0863","Other"
"11324","Europe","2458.4700000000003","260","0.4417","0.0867","Other"
"12698","North America","2454.71","261","0.4424","0.087","Other"
"11112","Middle East","2448.44","262","0.4431","0.0873","Other"
"10794","Europe","2448.4100000000003","263","0.4438","0.0877","Other"
"12428","North America","2443.44","264","0.4446","0.088","Other"
"11931","North America","2437.19","265","0.4453","0.0883","Other"
"11634","Latin America","2432.48","266","0.446","0.0887","Other"
"12187","Latin America","2428.96","267","0.4467","0.089","Other"
"10956","Southeast Asia","2427.31","268","0.4474","0.0893","Other"
"10671","Europe","2423.89","269","0.4481","0.0897","Other"
"12640","Europe","2411.44","270","0.4487","0.09","Other"
"12468","Latin America","2409.32","271","0.4494","0.0903","Other"
"11438","Middle East","2408.2599999999998","272","0.4501","0.0907","Other"
"10326","Europe","2403.92","273","0.4508","0.091","Other"
"12250","Middle East","2398.55","274","0.4515","0.0913","Other"
"10229","Europe","2395.63","275","0.4522","0.0917","Other"
"10674","North America","2392.59","276","0.4529","0.092","Other"
"12115","Europe","2391.23","277","0.4536","0.0923","Other"
"11368","North America","2379.12","278","0.4543","0.0927","Other"
"11986","North America","2378.64","279","0.4549","0.093","Other"
"10088","Europe","2374.48","280","0.4556","0.0933","Other"
"12539","Middle East","2359.7200000000003","281","0.4563","0.0937","Other"
"10188","Southeast Asia","2356.44","282","0.457","0.094","Other"
"10019","Europe","2351.7799999999997","283","0.4577","0.0943","Other"
"11815","North America","2343.9900000000002","284","0.4583","0.0947","Other"
"11626","Southeast Asia","2336.94","285","0.459","0.095","Other"
"12096","Middle East","2336.66","286","0.4597","0.0953","Other"
"12297","Europe","2334.58","287","0.4604","0.0957","Other"
"11073","Middle East","2331.5099999999998","288","0.461","0.096","Other"
"12307","Latin America","2329.96","289","0.4617","0.0963","Other"
"12578","North America","2322.27","290","0.4624","0.0967","Other"
"12826","Europe","2316.81","291","0.463","0.097","Other"
"12289","Southeast Asia","2315.88","292","0.4637","0.0973","Other"
"12529","Southeast Asia","2313.13","293","0.4644","0.0977","Other"
"12355","Latin America","2307.7","294","0.465","0.098","Other"
"12174","Europe","2306.23","295","0.4657","0.0983","Other"
"11419","North America","2291.28","296","0.4664","0.0987","Other"
"12606","Latin America","2289.68","297","0.467","0.099","Other"
"11525","Europe","2279.81","298","0.4677","0.0993","Other"
"12972","Latin America","2279.42","299","0.4683","0.0997","Other"
"10862","Latin America","2273.27","300","0.469","0.1","Other"
"12693","North America","2272.63","301","0.4696","0.1003","Other"
"12145","Europe","2269.93","302","0.4703","0.1007","Other"
"12588","North America","2266.94","303","0.4709","0.101","Other"
"10337","Southeast Asia","2265.0099999999998","304","0.4716","0.1013","Other"
"12487","Latin America","2251.54","305","0.4722","0.1017","Other"
"12022","Europe","2249.2599999999998","306","0.4729","0.102","Other"
"10933","North America","2248.35","307","0.4735","0.1023","Other"
"12809","Latin America","2237.67","308","0.4742","0.1027","Other"
"12392","Middle East","2233.63","309","0.4748","0.103","Other"
"10952","Southeast Asia","2230.9","310","0.4755","0.1033","Other"
"12185","Europe","2225.5299999999997","311","0.4761","0.1037","Other"
"10121","Latin America","2222.32","312","0.4767","0.104","Other"
"10578","Southeast Asia","2212.7999999999997","313","0.4774","0.1043","Other"
"11877","Europe","2209.48","314","0.478","0.1047","Other"
"12862","Latin America","2208.9500000000003","315","0.4787","0.105","Other"
"12091","Southeast Asia","2196.47","316","0.4793","0.1053","Other"
"10331","Europe","2191.03","317","0.4799","0.1057","Other"
"11242","North America","2186.73","318","0.4805","0.106","Other"
"10210","Middle East","2184.54","319","0.4812","0.1063","Other"
"12932","Latin America","2183.04","320","0.4818","0.1067","Other"
"11792","North America","2181.4","321","0.4824","0.107","Other"
"11714","North America","2172.38","322","0.4831","0.1073","Other"
"10955","Europe","2171.24","323","0.4837","0.1077","Other"
"11331","Europe","2160.15","324","0.4843","0.108","Other"
"11603","Europe","2160.05","325","0.4849","0.1083","Other"
"10165","Southeast Asia","2154.11","326","0.4855","0.1087","Other"
"12466","North America","2153.11","327","0.4862","0.109","Other"
"12973","Europe","2152.84","328","0.4868","0.1093","Other"
"11358","Europe","2151.1","329","0.4874","0.1097","Other"
"12229","Southeast Asia","2149.11","330","0.488","0.11","Other"
"11394","Middle East","2143.26","331","0.4886","0.1103","Other"
"12430","Europe","2136.87","332","0.4893","0.1107","Other"
"12021","North America","2126.15","333","0.4899","0.111","Other"
"12318","North America","2125.56","334","0.4905","0.1113","Other"
"12454","Europe","2124.04","335","0.4911","0.1117","Other"
"12517","North America","2118.2","336","0.4917","0.112","Other"
"11991","Europe","2106.93","337","0.4923","0.1123","Other"
"11345","Europe","2105.42","338","0.4929","0.1127","Other"
"10710","Europe","2097.92","339","0.4935","0.113","Other"
"12092","Southeast Asia","2096.18","340","0.4941","0.1133","Other"
"12998","Europe","2092.83","341","0.4947","0.1137","Other"
"11174","Europe","2089.43","342","0.4953","0.114","Other"
"11555","Europe","2088.78","343","0.4959","0.1143","Other"
"12832","Southeast Asia","2085.54","344","0.4965","0.1147","Other"
"10806","North America","2085.35","345","0.4971","0.115","Other"
"12434","North America","2081.63","346","0.4977","0.1153","Other"
"12503","North America","2079.1800000000003","347","0.4983","0.1157","Other"
"12168","Southeast Asia","2075.14","348","0.4989","0.116","Other"
"11890","Latin America","2075.02","349","0.4995","0.1163","Other"
"10335","North America","2074.1","350","0.5001","0.1167","Other"
"10475","North America","2061.09","351","0.5007","0.117","Other"
"11166","Middle East","2060.23","352","0.5013","0.1173","Other"
"12151","North America","2058.87","353","0.5019","0.1177","Other"
"11561","North America","2049.59","354","0.5025","0.118","Other"
"11542","Europe","2041.69","355","0.5031","0.1183","Other"
"11220","North America","2040.2","356","0.5037","0.1187","Other"
"11414","North America","2040.1399999999999","357","0.5042","0.119","Other"
"12429","Latin America","2036.61","358","0.5048","0.1193","Other"
"11940","Europe","2036.3999999999999","359","0.5054","0.1197","Other"
"10020","Southeast Asia","2033.9","360","0.506","0.12","Other"
"11953","Middle East","2030.6","361","0.5066","0.1203","Other"
"10100","North America","2028.61","362","0.5072","0.1207","Other"
"12109","Europe","2028.1","363","0.5078","0.121","Other"
"10385","Middle East","2027.75","364","0.5083","0.1213","Other"
"11401","Middle East","2025.9299999999998","365","0.5089","0.1217","Other"
"10294","Latin America","2022.51","366","0.5095","0.122","Other"
"10171","Latin America","2012.73","367","0.5101","0.1223","Other"
"10893","Southeast Asia","2010.1000000000001","368","0.5107","0.1227","Other"
"11788","Latin America","2009.71","369","0.5112","0.123","Other"
"11457","Middle East","2007.99","370","0.5118","0.1233","Other"
"10334","North America","2000.84","371","0.5124","0.1237","Other"
"11197","North America","2000.15","372","0.513","0.124","Other"
"11546","Middle East","1999.74","373","0.5135","0.1243","Other"
"11188","Europe","1999.52","374","0.5141","0.1247","Other"
"10455","North America","1998.36","375","0.5147","0.125","Other"
"12170","North America","1993.4","376","0.5153","0.1253","Other"
"10346","Latin America","1986.36","377","0.5158","0.1257","Other"
"12721","North America","1983.74","378","0.5164","0.126","Other"
"10047","Europe","1981.6499999999999","379","0.517","0.1263","Other"
"11095","Latin America","1978.34","380","0.5176","0.1267","Other"
"12729","North America","1977.6200000000001","381","0.5181","0.127","Other"
"10684","Europe","1975.1000000000001","382","0.5187","0.1273","Other"
"12732","Latin America","1972.94","383","0.5193","0.1277","Other"
"11257","North America","1971.3","384","0.5198","0.128","Other"
"11864","Latin America","1961.26","385","0.5204","0.1283","Other"
"10961","Europe","1959.1899999999998","386","0.521","0.1287","Other"
"11284","North America","1958.97","387","0.5215","0.129","Other"
"10835","Latin America","1957.95","388","0.5221","0.1293","Other"
"11074","Europe","1952.6299999999999","389","0.5226","0.1297","Other"
"11854","Latin America","1946.99","390","0.5232","0.13","Other"
"12861","Latin America","1946.36","391","0.5238","0.1303","Other"
"10492","North America","1938.75","392","0.5243","0.1307","Other"
"11841","Middle East","1937.51","393","0.5249","0.131","Other"
"10811","Latin America","1935.77","394","0.5254","0.1313","Other"
"10448","North America","1935.37","395","0.526","0.1317","Other"
"11036","Southeast Asia","1930.22","396","0.5266","0.132","Other"
"10199","Europe","1929.3899999999999","397","0.5271","0.1323","Other"
"10145","Latin America","1924.8","398","0.5277","0.1327","Other"
"11269","Europe","1923.64","399","0.5282","0.133","Other"
"12345","North America","1914.85","400","0.5288","0.1333","Other"
"11190","Middle East","1914.34","401","0.5293","0.1337","Other"
"10640","Europe","1913.59","402","0.5299","0.134","Other"
"12748","Middle East","1913.22","403","0.5304","0.1343","Other"
"10668","North America","1907.93","404","0.531","0.1347","Other"
"11648","Southeast Asia","1907.45","405","0.5315","0.135","Other"
"12962","North America","1905.3600000000001","406","0.5321","0.1353","Other"
"11014","Europe","1903.6299999999999","407","0.5326","0.1357","Other"
"11723","Latin America","1903.04","408","0.5332","0.136","Other"
"11593","North America","1900.54","409","0.5337","0.1363","Other"
"12561","Middle East","1899.1799999999998","410","0.5343","0.1367","Other"
"11564","North America","1895.65","411","0.5348","0.137","Other"
"11150","Europe","1895.3","412","0.5353","0.1373","Other"
"10348","Europe","1890.69","413","0.5359","0.1377","Other"
"11340","North America","1888.39","414","0.5364","0.138","Other"
"12002","Latin America","1887.7700000000002","415","0.537","0.1383","Other"
"10613","Middle East","1886.02","416","0.5375","0.1387","Other"
"12436","North America","1880.24","417","0.5381","0.139","Other"
"11454","Southeast Asia","1877.39","418","0.5386","0.1393","Other"
"11873","Southeast Asia","1875.29","419","0.5391","0.1397","Other"
"12511","Middle East","1875.07","420","0.5397","0.14","Other"
"11195","Middle East","1872.79","421","0.5402","0.1403","Other"
"12037","Middle East","1871.89","422","0.5408","0.1407","Other"
"12581","Southeast Asia","1865.74","423","0.5413","0.141","Other"
"11418","North America","1861.24","424","0.5418","0.1413","Other"
"10462","Europe","1859.43","425","0.5424","0.1417","Other"
"10106","Europe","1854.5700000000002","426","0.5429","0.142","Other"
"12309","Southeast Asia","1854.0900000000001","427","0.5434","0.1423","Other"
"12253","North America","1853.87","428","0.544","0.1427","Other"
"11291","Southeast Asia","1848.49","429","0.5445","0.143","Other"
"11774","Europe","1842.53","430","0.545","0.1433","Other"
"12046","Europe","1842.26","431","0.5456","0.1437","Other"
"12344","North America","1842.13","432","0.5461","0.144","Other"
"10302","Europe","1841.94","433","0.5466","0.1443","Other"
"11390","North America","1841.85","434","0.5472","0.1447","Other"
"10240","North America","1836.03","435","0.5477","0.145","Other"
"12287","Southeast Asia","1832.06","436","0.5482","0.1453","Other"
"12833","North America","1826.8799999999999","437","0.5487","0.1457","Other"
"12556","Europe","1825.64","438","0.5493","0.146","Other"
"10804","Southeast Asia","1822.45","439","0.5498","0.1463","Other"
"10060","North America","1822.3600000000001","440","0.5503","0.1467","Other"
"12852","Latin America","1822.05","441","0.5508","0.147","Other"
"12943","North America","1821.77","442","0.5514","0.1473","Other"
"11342","Southeast Asia","1816.0800000000002","443","0.5519","0.1477","Other"
"10038","Middle East","1809.68","444","0.5524","0.148","Other"
"10818","North America","1808.27","445","0.5529","0.1483","Other"
"11939","Latin America","1807.39","446","0.5534","0.1487","Other"
"10069","Europe","1806.3799999999999","447","0.554","0.149","Other"
"11043","Europe","1805.6","448","0.5545","0.1493","Other"
"11906","Middle East","1803","449","0.555","0.1497","Other"
"11503","Europe","1800.53","450","0.5555","0.15","Other"
"11396","Latin America","1798.42","451","0.556","0.1503","Other"
"11907","Europe","1795.47","452","0.5566","0.1507","Other"
