"region","channel","device","total_orders","total_revenue","avg_order_value","avg_discount_pct","return_rate_percent"
"Middle East","Email","Mobile","106","28832.78","272.01","6.32","0.12"
"Middle East","Influencer","Tablet","13","4124.12","317.24","9.23","0.31"
"Middle East","Influencer","Mobile","92","29077.56","316.06","5.33","0.1"
"Middle East","Influencer","Desktop","65","17822.59","274.19","6.31","0.08"
"Middle East","Organic","Desktop","106","33817.46","319.03","4.91","0.1"
"Middle East","Organic","Tablet","26","7527.04","289.5","4.81","0.12"
"Middle East","Organic","Mobile","163","37078.8","227.48","6.04","0.11"
"Middle East","Paid Search","Tablet","26","8760.33","336.94","5","0.04"
"Middle East","Paid Search","Desktop","82","25254.57","307.98","5.18","0.09"
"Middle East","Paid Search","Mobile","136","39158.52","287.93","6.8","0.09"
"Middle East","Referral","Tablet","10","2816.8","281.68","6.5","0.2"
"Middle East","Referral","Desktop","24","5991.72","249.66","5.42","0.13"
"Middle East","Referral","Mobile","65","15834.43","243.61","6.08","0.06"
"Middle East","Social Ads","Desktop","83","26692.73","321.6","7.35","0.13"
"Middle East","Social Ads","Mobile","120","27849.73","232.08","6.96","0.1"
"Middle East","Social Ads","Tablet","25","4921.15","196.85","7.2","0.12"
"North America","Email","Desktop","189","52453.09","277.53","5.45","0.13"
"North America","Email","Mobile","281","74893.19","266.52","5.43","0.08"
"North America","Email","Tablet","46","11276.19","245.13","4.13","0.09"
"North America","Influencer","Tablet","37","12175.07","329.06","4.46","0.08"
"North America","Influencer","Desktop","149","47552.7","319.15","6.14","0.15"
"North America","Influencer","Mobile","257","61014.31","237.41","6.46","0.12"
"North America","Organic","Desktop","339","96038.18","283.3","6.53","0.1"
"North America","Organic","Mobile","525","148524.28","282.9","5.45","0.09"
"North America","Organic","Tablet","97","25438.81","262.26","5.93","0.05"
"North America","Paid Search","Tablet","76","30835.99","405.74","5.66","0.09"
"North America","Paid Search","Desktop","250","72549.85","290.2","5","0.12"
"North America","Paid Search","Mobile","409","115974.3","283.56","5.76","0.11"
"North America","Referral","Tablet","33","9622.2","291.58","5.91","0.12"
"North America","Referral","Desktop","110","28203.54","256.4","5.45","0.12"
"North America","Referral","Mobile","179","39448.22","220.38","5.45","0.1"
"North America","Social Ads","Desktop","268","80670.93","301.01","6.18","0.12"
"North America","Social Ads","Mobile","409","108610.26","265.55","5.86","0.11"
"North America","Social Ads","Tablet","80","19386.62","242.33","6.81","0.06"
"Southeast Asia","Email","Desktop","122","46770.99","383.37","5.61","0.14"
"Southeast Asia","Email","Mobile","184","58140.41","315.98","6.74","0.1"
"Southeast Asia","Email","Tablet","24","6281.13","261.71","4.58","0.21"
"Southeast Asia","Influencer","Tablet","37","13501.81","364.91","3.78","0.05"
"Southeast Asia","Influencer","Mobile","164","50696.64","309.13","6.4","0.11"
"Southeast Asia","Influencer","Desktop","102","22560","221.18","7.21","0.12"
"Southeast Asia","Organic","Desktop","216","71645.29","331.69","5.9","0.12"
"Southeast Asia","Organic","Tablet","71","21985.85","309.66","4.65","0.11"
"Southeast Asia","Organic","Mobile","346","97439.67","281.62","4.99","0.1"
"Southeast Asia","Paid Search","Mobile","272","85260.62","313.46","5.94","0.08"
"Southeast Asia","Paid Search","Tablet","40","12147.69","303.69","5.88","0.03"
"Southeast Asia","Paid Search","Desktop","163","48284.659999999996","296.22","5.52","0.12"
"Southeast Asia","Referral","Mobile","118","37874.5","320.97","6.27","0.06"
"Southeast Asia","Referral","Tablet","26","7917.27","304.51","5.19","0.19"
"Southeast Asia","Referral","Desktop","68","19462.34","286.21","3.97","0.09"
"Southeast Asia","Social Ads","Desktop","146","47035.61","322.16","5.92","0.12"
"Southeast Asia","Social Ads","Mobile","267","75878.79","284.19","6.16","0.07"
"Southeast Asia","Social Ads","Tablet","42","10715.67","255.13","4.64","0.19"
